HM	CM	ENET_B	SPCN_B	STATE	ENET_RSQ_HM	ENET_RSQ_CM	ENET_RSQ_PROD
CBX3	RNAPII_S2P	1	1	1	0.233299398942684	0.646751275105056	0.150886683747424
CBX7	RYBP	1	1	1	0.247459042156633	0.288120001737922	0.0712978996562337
C_MYC	KLF4	1	1	1	0.271340195763854	0.388302382896832	0.105362044590797
C_MYC	N_MYC	1	1	1	0.271340195763854	0.347474281482593	0.0942837395603912
C_MYC	STAT3	1	1	1	0.271340195763854	0.410845955106141	0.111479021887288
CoREST	SUZ12	1	1	1	0.282740069987357	0.450074246064335	0.127254023831737
E2F1	POLII	1	1	1	0.34142162922142	0.619756923251185	0.211598418457674
EZH2	G9A	1	1	1	0.0748303323366647	0.149141463113912	0.0111603052499905
HDAC1	HDAC2	1	1	1	0.411685102122253	0.431154732874379	0.177499980233881
HDAC1	SUZ12	1	1	1	0.411685102122253	0.450074246064335	0.185288861953592
HDAC2	SUZ12	1	1	1	0.431154732874379	0.450074246064335	0.194051641335506
KDM2A	KDM2B	1	1	1	0.213427997767556	0.2275040182076	0.0485557270901216
KLF4	N_MYC	1	1	1	0.388302382896832	0.347474281482593	0.134925091495055
KLF4	STAT3	1	1	1	0.388302382896832	0.410845955106141	0.159532463371239
LSD1	MED12	1	1	1	0.533544849702494	0.421467723605588	0.224871933245596
LSD1	SETDB1	0	0	1	0.533544849702494	0.142927458081464	0.076258209140434
MAFK	ZC3H11A	1	1	1	0.266286541635125	0.41482199444184	0.110461514294102
MAFK	ZNF384	1	1	1	0.266286541635125	0.229552324431312	0.0611266945971183
MBD2T	TAF1	0	0	1	0.151332136748973	0.080247665914759	0.0121440507519982
MED12	MED1	1	1	1	0.421467723605588	0.330978016061398	0.139496550992891
MED12	NIPBL	1	1	1	0.421467723605588	0.334444368036374	0.140957506469
MED1	NIPBL	1	1	1	0.330978016061398	0.334444368036374	0.110693733415587
MED1	SETDB1	1	1	1	0.330978016061398	0.142927458081464	0.0473058465165014
NANOG	OCT4	1	1	1	0.432285892495798	0.494267424692574	0.213664834814829
NANOG	SOX2	1	1	1	0.432285892495798	0.495265236284654	0.214096174689454
NANOG	TCF3	1	1	1	0.432285892495798	0.442921033011932	0.191468514060724
NIPBL	SETDB1	1	1	1	0.334444368036374	0.142927458081464	0.0478012833931004
N_MYC	STAT3	1	1	1	0.347474281482593	0.410845955106141	0.142758403050536
OCT4	SOX2	1	1	1	0.494267424692574	0.495265236284654	0.244793472878175
OCT4	TCF3	1	1	1	0.494267424692574	0.442921033011932	0.218921438328982
POLII	RNAPII_S5P	1	1	1	0.619756923251185	0.588989081289613	0.365030060848593
POLII	RNAPII_S7P	1	1	1	0.619756923251185	0.622735431992032	0.385944595330879
RING1B	RNAPII_S5P	1	1	1	0.283084588935684	0.588989081289613	0.166733731964476
RNAPII_S2P	RNAPII_S5P	1	1	1	0.646751275105056	0.588989081289613	0.380929439347013
RNAPII_S2P	RNAPII_S7P	1	1	1	0.646751275105056	0.622735431992032	0.402754934693945
RNAPII_S5P	RNAPII_S7P	1	1	1	0.588989081289613	0.622735431992032	0.366784369975477
SIN3A	TET1	1	1	1	0.21782922902932	0.265121480644577	0.0577512077279199
SMC1	SMC3	1	1	1	0.405149717652763	0.336714309062123	0.136419707246164
SOX2	TCF3	1	1	1	0.495265236284654	0.442921033011932	0.219363390070098
SUZ12	TCF3	1	1	1	0.450074246064335	0.442921033011932	0.199347349998882
ZC3H11A	ZNF384	1	1	1	0.41482199444184	0.229552324431312	0.0952233530493573
CBX7	RYBP	1	1	2	0.177106332361697	0.270352355564958	0.0478811141394552
C_MYC	N_MYC	1	1	2	0.28569881172343	0.371786566944019	0.10621898039064
C_MYC	STAT3	1	1	2	0.28569881172343	0.299343578351184	0.0855221046319728
E2F1	POLII	1	1	2	0.332745869319006	0.736569715143352	0.245090530179427
ESRRB	RING1B	1	1	2	0.200607670737293	0.328313326723595	0.0658621717460321
EZH2	G9A	1	1	2	0.0638192006598123	0.192675514756548	0.0122963973384807
G9A	MBD2T	0	0	2	0.192675514756548	0.220906636067651	0.042563299817472
HDAC1	HDAC2	1	1	2	0.462758379753011	0.426858941591877	0.197532552194142
HDAC1	SUZ12	1	1	2	0.462758379753011	0.491947208574849	0.227652693164114
HDAC1	TCF3	1	1	2	0.462758379753011	0.506935666271055	0.234588727562607
HDAC2	NANOG	1	1	2	0.426858941591877	0.468574749130559	0.20001532147055
HDAC2	SUZ12	1	1	2	0.426858941591877	0.491947208574849	0.209992064771338
KDM2A	KDM2B	1	1	2	0.378579620934002	0.237891868143104	0.0900610132648979
KDM2A	TET1	1	1	2	0.378579620934002	0.477238295247367	0.180672692909937
KLF4	STAT3	1	1	2	0.236908364358749	0.299343578351184	0.0709169975284741
LSD1	MED12	1	1	2	0.636230076759445	0.577110487282188	0.367175049622227
LSD1	NIPBL	1	1	2	0.636230076759445	0.525538054410434	0.33436311669756
MAFK	ZC3H11A	1	1	2	0.207722445647327	0.367437199061124	0.0763249536107803
MAFK	ZNF384	1	1	2	0.207722445647327	0.324530142835411	0.0674121949560479
MBD2T	TAF1	0	0	2	0.220906636067651	0.096238198221572	0.0212596566303392
MED12	MED1	1	1	2	0.577110487282188	0.538549423694127	0.310802520333659
MED12	NIPBL	1	1	2	0.577110487282188	0.525538054410434	0.303293522666139
MED1	NIPBL	1	1	2	0.538549423694127	0.525538054410434	0.283028216332072
NANOG	OCT4	1	1	2	0.468574749130559	0.47332199183271	0.221786733580989
NANOG	SOX2	1	1	2	0.468574749130559	0.533252469446715	0.249868642094246
NANOG	TCF3	1	1	2	0.468574749130559	0.506935666271055	0.237537252648292
N_MYC	STAT3	1	1	2	0.371786566944019	0.299343578351184	0.111291921331925
OCT4	SOX2	1	1	2	0.47332199183271	0.533252469446715	0.25240012098823
OCT4	TCF3	1	1	2	0.47332199183271	0.506935666271055	0.239943799290458
OGT	TET1	1	1	2	0.316903308472857	0.477238295247367	0.151238394693837
POLII	RNAPII_S5P	1	1	2	0.736569715143352	0.758581834911534	0.55874840605371
POLII	RNAPII_S7P	1	1	2	0.736569715143352	0.816677338347971	0.601539794470996
RNAPII_S2P	RNAPII_S5P	1	1	2	0.808494322118093	0.758581834911534	0.6133091063879
RNAPII_S2P	RNAPII_S7P	1	1	2	0.808494322118093	0.816677338347971	0.660278991056851
RNAPII_S5P	RNAPII_S7P	1	1	2	0.758581834911534	0.816677338347971	0.619516593854672
SIN3A	TET1	1	1	2	0.258215366387341	0.477238295247367	0.123230261261369
SMC1	SMC3	1	1	2	0.619572563805142	0.538256458682541	0.333488934090618
SOX2	TCF3	1	1	2	0.533252469446715	0.506935666271055	0.270324695889656
SUZ12	TCF3	1	1	2	0.491947208574849	0.506935666271055	0.249385585949076
ZC3H11A	ZNF384	1	1	2	0.367437199061124	0.324530142835411	0.11924444669435
CBX7	RYBP	1	1	3	0.190921819507181	0.220206702835618	0.0420422643730533
C_MYC	KLF4	1	1	3	0.272506927961948	0.359513778446001	0.0979699953243122
C_MYC	N_MYC	1	1	3	0.272506927961948	0.336000823662343	0.0915625522489093
C_MYC	STAT3	1	1	3	0.272506927961948	0.387402444614572	0.105569850066866
E2F1	POLII	1	1	3	0.313060326482901	0.654272019248205	0.20482661195447
E2F1	STAT3	1	1	3	0.313060326482901	0.387402444614572	0.121280335791312
EZH2	G9A	1	1	3	0.0911785788253578	0.117101126645907	0.010677114306422
HCFC1	MAFK	1	1	3	0.381659960612658	0.325278399333819	0.124145741077894
HCFC1	ZC3H11A	1	1	3	0.381659960612658	0.447264936376608	0.170703118000919
HCFC1	ZNF384	1	1	3	0.381659960612658	0.352819686487581	0.13465714764822
HDAC1	HDAC2	1	1	3	0.473789229351086	0.461289994252034	0.218554230884038
HDAC1	SUZ12	1	1	3	0.473789229351086	0.557560271011137	0.264166051119149
HDAC1	TCF3	1	1	3	0.473789229351086	0.481818157934535	0.228280253735163
HDAC2	SUZ12	1	1	3	0.461289994252034	0.557560271011137	0.25719697420989
HDAC2	TCF3	1	1	3	0.461289994252034	0.481818157934535	0.222257895304147
KDM2A	KDM2B	1	1	3	0.248767681343329	0.214062215133346	0.0532517609219394
KLF4	N_MYC	1	1	3	0.359513778446001	0.336000823662343	0.120796925675817
KLF4	STAT3	1	1	3	0.359513778446001	0.387402444614572	0.139276516642602
LSD1	MED12	1	1	3	0.526096914190339	0.388792484385665	0.204542526295694
LSD1	SETDB1	0	0	3	0.526096914190339	0.138798433717856	0.0730214276734163
MAFK	ZC3H11A	1	1	3	0.325278399333819	0.447264936376608	0.145485622582725
MAFK	ZNF384	1	1	3	0.325278399333819	0.352819686487581	0.11476462287414
MBD2T	TAF1	0	0	3	0.134079486895473	0.0588636778877738	0.00789241172797314
MED12	MED1	1	1	3	0.388792484385665	0.297453355852297	0.115647629210668
MED12	NIPBL	1	1	3	0.388792484385665	0.319794028689053	0.124333514905717
MED12	SETDB1	1	1	3	0.388792484385665	0.138798433717856	0.0539637878740042
MED1	NIPBL	1	1	3	0.297453355852297	0.319794028689053	0.0951238070150847
MED1	SETDB1	1	1	3	0.297453355852297	0.138798433717856	0.0412860598964189
NANOG	OCT4	1	1	3	0.442238453735904	0.47399122863358	0.209617148035296
NANOG	SOX2	1	1	3	0.442238453735904	0.512802735246996	0.226781088707174
NANOG	TCF3	1	1	3	0.442238453735904	0.481818157934535	0.21307851714685
NIPBL	SETDB1	1	1	3	0.319794028689053	0.138798433717856	0.0443869102943637
N_MYC	STAT3	1	1	3	0.336000823662343	0.387402444614572	0.130167540479301
OCT4	SOX2	1	1	3	0.47399122863358	0.512802735246996	0.243063998526384
POLII	RNAPII_S2P	1	1	3	0.654272019248205	0.759047683087547	0.496623660319361
POLII	RNAPII_S5P	1	1	3	0.654272019248205	0.688229516512482	0.450289315474838
POLII	RNAPII_S7P	1	1	3	0.654272019248205	0.750257878429962	0.490872737077246
RNAPII_S2P	RNAPII_S5P	1	1	3	0.759047683087547	0.688229516512482	0.522399019941262
RNAPII_S2P	RNAPII_S7P	1	1	3	0.759047683087547	0.750257878429962	0.569481504340441
RNAPII_S5P	RNAPII_S7P	1	1	3	0.688229516512482	0.750257878429962	0.516349616931533
SIN3A	TET1	1	1	3	0.203633024187646	0.274720092582081	0.0559420832575992
SMC1	SMC3	1	1	3	0.634375788793941	0.614566590807494	0.389866165809907
SUZ12	TCF3	1	1	3	0.557560271011137	0.481818157934535	0.268642662716066
ZC3H11A	ZNF384	1	1	3	0.447264936376608	0.352819686487581	0.157803874629283
CBX7	RYBP	1	1	4	0.235752342310504	0.269007619655193	0.063419176433085
C_MYC	E2F1	1	1	4	0.299330417858358	0.330714934006423	0.098993039388142
C_MYC	KLF4	1	1	4	0.299330417858358	0.455140392615469	0.136237363905805
C_MYC	N_MYC	1	1	4	0.299330417858358	0.396977023653798	0.118827298370459
C_MYC	STAT3	1	1	4	0.299330417858358	0.477565594336988	0.142949908907666
E2F1	KLF4	1	1	4	0.330714934006423	0.455140392615469	0.150521724907482
E2F1	N_MYC	1	1	4	0.330714934006423	0.396977023653798	0.131286230179732
E2F1	STAT3	1	1	4	0.330714934006423	0.477565594336988	0.157938074014895
EZH2	G9A	1	1	4	0.0943137026493856	0.148740415907541	0.0140282593578497
HCFC1	MAFK	1	1	4	0.495871219533731	0.436772401846378	0.21658286356224
HCFC1	ZC3H11A	1	1	4	0.495871219533731	0.479499513829235	0.237770008688334
HCFC1	ZNF384	1	1	4	0.495871219533731	0.433444618094851	0.214932711375026
HDAC1	HDAC2	1	1	4	0.394054959569703	0.377171236640987	0.148626196405419
HDAC1	SUZ12	1	1	4	0.394054959569703	0.471903342637523	0.185955852603837
HDAC2	SUZ12	1	1	4	0.377171236640987	0.471903342637523	0.17798836731761
KDM2A	KDM2B	1	1	4	0.234787471946863	0.2414236773046	0.0566832548624625
KLF4	N_MYC	1	1	4	0.455140392615469	0.396977023653798	0.18068027840511
KLF4	STAT3	1	1	4	0.455140392615469	0.477565594336988	0.217359392106176
MAFK	ZC3H11A	1	1	4	0.436772401846378	0.479499513829235	0.209432154339366
MAFK	ZNF384	1	1	4	0.436772401846378	0.433444618094851	0.189316646912674
MBD2T	TAF1	0	0	4	0.109881566092732	0.0446462833514078	0.00490580353487255
MED12	MED1	1	1	4	0.181392475489701	0.176528935344298	0.0320210205776637
MED12	NIPBL	1	1	4	0.181392475489701	0.184785807867236	0.0335187551244022
MED12	SETDB1	1	1	4	0.181392475489701	0.196153156169112	0.0355807065726332
MED12	SMC1	1	1	4	0.181392475489701	0.150930126897147	0.0273775893438483
MED12	SMC3	1	1	4	0.181392475489701	0.152825035250483	0.027721311460886
MED1	NIPBL	1	1	4	0.176528935344298	0.184785807867236	0.0326200419295392
MED1	SETDB1	1	1	4	0.176528935344298	0.196153156169112	0.0346267078229572
MED1	SMC1	1	1	4	0.176528935344298	0.150930126897147	0.0266435346125332
MED1	SMC3	1	1	4	0.176528935344298	0.152825035250483	0.0269780407667226
NANOG	OCT4	1	1	4	0.383519932919897	0.451946862418905	0.173330630358256
NANOG	SOX2	1	1	4	0.383519932919897	0.408267812252317	0.156578843968362
NANOG	TCF3	1	1	4	0.383519932919897	0.405854148845377	0.155653155940441
NIPBL	SETDB1	1	1	4	0.184785807867236	0.196153156169112	0.0362463194284174
NIPBL	SMC1	1	1	4	0.184785807867236	0.150930126897147	0.0278897454301937
NIPBL	SMC3	1	1	4	0.184785807867236	0.152825035250483	0.0282398976010992
N_MYC	STAT3	1	1	4	0.396977023653798	0.477565594336988	0.189582568239354
OCT4	SOX2	1	1	4	0.451946862418905	0.408267812252317	0.184515356774065
OCT4	SUZ12	1	1	4	0.451946862418905	0.471903342637523	0.213275235070022
OCT4	TCF3	1	1	4	0.451946862418905	0.405854148845377	0.183424509170363
POLII	RNAPII_S2P	1	1	4	0.409271496361516	0.294751693332992	0.120633466585485
POLII	RNAPII_S5P	1	1	4	0.409271496361516	0.468492354805818	0.191740567085308
POLII	RNAPII_S7P	1	1	4	0.409271496361516	0.42921020213105	0.175663501679804
RING1B	RNAPII_S5P	1	1	4	0.178202941157262	0.468492354805818	0.0834867155360885
RNAPII_S2P	RNAPII_S5P	1	1	4	0.294751693332992	0.468492354805818	0.138088914892576
RNAPII_S2P	RNAPII_S7P	1	1	4	0.294751693332992	0.42921020213105	0.126510433873923
RNAPII_S5P	RNAPII_S7P	1	1	4	0.468492354805818	0.42921020213105	0.201081698303057
SETDB1	SMC1	1	1	4	0.196153156169112	0.150930126897147	0.02960542075188
SETDB1	SMC3	1	1	4	0.196153156169112	0.152825035250483	0.029977113006038
SIN3A	TET1	1	1	4	0.262284614719999	0.306105172680651	0.0802866772803432
SMC1	SMC3	1	1	4	0.150930126897147	0.152825035250483	0.0230659019634164
SOX2	SUZ12	1	1	4	0.408267812252317	0.471903342637523	0.192662945293177
SOX2	TCF3	1	1	4	0.408267812252317	0.405854148845377	0.165697185442628
SUZ12	TCF3	1	1	4	0.471903342637523	0.405854148845377	0.19152392946344
ZC3H11A	ZNF384	1	1	4	0.479499513829235	0.433444618094851	0.20783648364838
CBX3	RNAPII_S2P	1	1	5	0.266837880273408	0.68576003218806	0.182986753365286
CBX7	RYBP	1	1	5	0.259218137885077	0.316415372734816	0.0820206037185317
C_MYC	E2F1	1	1	5	0.299123933930456	0.357099013479696	0.106816861714732
C_MYC	KLF4	1	1	5	0.299123933930456	0.447086962794898	0.133734411120229
C_MYC	N_MYC	1	1	5	0.299123933930456	0.392053425261054	0.117272562874997
C_MYC	STAT3	1	1	5	0.299123933930456	0.479606589458646	0.143461809777839
E2F1	KLF4	1	1	5	0.357099013479696	0.447086962794898	0.159654313353692
E2F1	N_MYC	1	1	5	0.357099013479696	0.392053425261054	0.140001891392058
E2F1	STAT3	1	1	5	0.357099013479696	0.479606589458646	0.171267039954044
ESRRB	TCFCP2I1	1	1	5	0.184504279122926	0.251427975305611	0.0463895373350986
EZH2	G9A	1	1	5	0.0970397221121309	0.161242860293034	0.0156469623554011
G9A	MBD2T	0	0	5	0.161242860293034	0.165235589187305	0.0266430590227657
HCFC1	MAFK	1	1	5	0.499316483529204	0.465519289167008	0.232441454481885
HCFC1	ZC3H11A	1	1	5	0.499316483529204	0.498682093776972	0.249000189463699
HCFC1	ZNF384	1	1	5	0.499316483529204	0.411631367063133	0.205534326712283
HDAC1	HDAC2	1	1	5	0.431266175285583	0.416203663413499	0.179494562060188
HDAC1	NANOG	1	1	5	0.431266175285583	0.437840121282606	0.188825634492125
HDAC1	OCT4	1	1	5	0.431266175285583	0.461622869027907	0.199082329150023
HDAC1	SOX2	1	1	5	0.431266175285583	0.426998033404017	0.184149808720616
HDAC1	SUZ12	1	1	5	0.431266175285583	0.521449124361022	0.224883369469194
HDAC1	TCF3	1	1	5	0.431266175285583	0.424154457339436	0.18292347054711
HDAC2	NANOG	1	1	5	0.416203663413499	0.437840121282606	0.182230662467231
HDAC2	OCT4	1	1	5	0.416203663413499	0.461622869027907	0.192129129204864
HDAC2	SOX2	1	1	5	0.416203663413499	0.426998033404017	0.177718145773111
HDAC2	SUZ12	1	1	5	0.416203663413499	0.521449124361022	0.217029035842818
HDAC2	TCF3	1	1	5	0.416203663413499	0.424154457339436	0.176534638997838
KDM2A	KDM2B	1	1	5	0.260294369483232	0.26261649416447	0.0683575947644376
KLF4	N_MYC	1	1	5	0.447086962794898	0.392053425261054	0.175281975153301
KLF4	STAT3	1	1	5	0.447086962794898	0.479606589458646	0.214425853417486
MAFK	ZC3H11A	1	1	5	0.465519289167008	0.498682093776972	0.232146133815372
MAFK	ZNF384	1	1	5	0.465519289167008	0.411631367063133	0.191622341394074
MBD2T	TAF1	0	0	5	0.165235589187305	0.0674135787066214	0.0111391223968133
MED12	MED1	1	1	5	0.241288543999336	0.210847032786814	0.0508749735477106
MED12	NIPBL	1	1	5	0.241288543999336	0.232558129163167	0.05611361238099
MED12	SETDB1	1	1	5	0.241288543999336	0.181861874837338	0.0438811869884906
MED1	NIPBL	1	1	5	0.210847032786814	0.232558129163167	0.0490341914845065
MED1	SETDB1	1	1	5	0.210847032786814	0.181861874837338	0.0383450366864996
NANOG	OCT4	1	1	5	0.437840121282606	0.461622869027907	0.202117012962003
NANOG	SOX2	1	1	5	0.437840121282606	0.426998033404017	0.186956870733049
NANOG	SUZ12	1	1	5	0.437840121282606	0.521449124361022	0.228311347852938
NANOG	TCF3	1	1	5	0.437840121282606	0.424154457339436	0.185711839044056
NIPBL	SETDB1	1	1	5	0.232558129163167	0.181861874837338	0.0422934573782773
N_MYC	STAT3	1	1	5	0.392053425261054	0.479606589458646	0.188031406175035
OCT4	SOX2	1	1	5	0.461622869027907	0.426998033404017	0.197112057249236
OCT4	SUZ12	1	1	5	0.461622869027907	0.521449124361022	0.240712840839624
OCT4	TCF3	1	1	5	0.461622869027907	0.424154457339436	0.195799397508005
POLII	RNAPII_S5P	1	1	5	0.575068934586233	0.633711972090319	0.36442806862452
POLII	RNAPII_S7P	1	1	5	0.575068934586233	0.68367508449378	0.393160302442991
RNAPII_S2P	RNAPII_S5P	1	1	5	0.68576003218806	0.633711972090319	0.434574342378616
RNAPII_S2P	RNAPII_S7P	1	1	5	0.68576003218806	0.68367508449378	0.468837047948629
RNAPII_S5P	RNAPII_S7P	1	1	5	0.633711972090319	0.68367508449378	0.433253086063568
SIN3A	TET1	1	1	5	0.306140188406138	0.305931946122952	0.0936580636255371
SMC1	SMC3	1	1	5	0.257521416770105	0.233870672042176	0.0602267068052778
SOX2	SUZ12	1	1	5	0.426998033404017	0.521449124361022	0.222657750622403
SOX2	TCF3	1	1	5	0.426998033404017	0.424154457339436	0.181113119143487
SUZ12	TCF3	1	1	5	0.521449124361022	0.424154457339436	0.221174970373473
ZC3H11A	ZNF384	1	1	5	0.498682093776972	0.411631367063133	0.205273191991321
CBX7	RYBP	1	1	6	0.222853825252025	0.367459398529811	0.0818897325871767
C_MYC	KLF4	1	1	6	0.292558225703804	0.404706310214154	0.118400160047386
C_MYC	N_MYC	1	1	6	0.292558225703804	0.405916400344991	0.118754181869006
C_MYC	STAT3	1	1	6	0.292558225703804	0.258975095354908	0.0757652943985052
