state (Emission order)	H4K20me3	H3K9me3	H2Aub1	H3K27me3	H2AZ	H3K4me3	H3K4me2	H3K9ac	H3K27ac	H3K4me1	5hmC	H3K36me2	5fC	5mC	H3K36me3	H3K79me2	CTCF
1	0.002231743440291085	0.005768442287185734	0.010446666348655176	0.002391379631079634	3.722589931347725E-4	0.02946537469290256	0.12425690129193902	0.026327759797525295	0.05929937339040196	0.4773741365048975	0.17324054847077713	0.00969646502280026	0.026995900567343772	0.01575858542066683	0.36884196593149543	0.6125858746606344	0.03308343686708712
2	0.006861889102859839	0.02290663078631158	0.005939203904035469	0.009759132048786716	0.003590663997245203	0.3754840991237039	0.3960072904967718	0.45252069060495	0.5694058180594377	0.9762776595259317	0.7361560501799814	0.032287999050098444	0.21026875251594146	0.11814756336130894	0.90393248045986	0.386228898378529	0.06947695552804471
3	0.0026412407637013816	0.01176083636058732	0.002270121782244816	0.002810432695739984	0.0012893628297706327	0.009714906809336673	0.014848371774737926	0.08496283535962336	0.19992100908128205	0.5577308495969759	0.453367212424333	0.010885728646495804	0.1661231578424083	0.14418462025876916	0.9299183694714824	0.061677461210477506	0.0475710368530041
4	9.138776739717802E-4	9.544990343797425E-4	0.002172982471814221	2.0877037890840907E-4	2.507653393792645E-4	1.9800098915648774E-4	6.767730538033381E-4	9.708181767339864E-4	0.002095646641749191	0.00953448702035177	0.01643726553148588	0.001601093853075723	0.005536712162744033	0.008981532977298635	0.13240972109603816	0.02737539905366295	0.00529342678985061
5	0.0015743984249462206	0.004440478940959276	0.0026852663870508796	2.9298331019479517E-4	3.0647273353127534E-4	3.694262222887788E-5	9.616950877108227E-4	0.004330876634795105	0.016452270814238463	0.007330547487223461	0.03894194913286645	0.0010792989225875205	0.03039800504662934	0.0301204645788114	0.8725493747269342	0.016073007738218105	0.019086130154572337
6	0.178437302345798	0.5535067045118572	0.0020673611662030984	0.00366713908034425	0.004034129735549899	0.006026858160427002	0.0012956035574590667	0.0019731141311194315	0.0469717478787826	0.010548941965612147	0.0358141062387416	0.013031253253768197	0.024639313576113743	0.044539117405442044	0.09932339810646046	0.004832811820007276	0.00465488708090934
7	8.460336541903158E-4	0.0027106136183706964	8.691152667671491E-4	0.0011175606884069682	7.55959058873269E-4	5.13510124737139E-5	2.589187979420347E-5	1.5312217648052619E-4	4.4332119716869066E-4	5.265168315659428E-4	0.001151225248407219	8.464592302254266E-4	0.0031135031724037767	0.0015363370747290307	1.662469749833885E-4	7.3932150804724E-6	6.002748222944653E-4
8	0.015472158132575605	0.015827817814477292	0.003987546656067871	0.028265335908059377	0.005225727395257035	4.284685407333897E-4	1.2592646879410732E-4	0.04275255735389865	0.10508876687974336	0.08758584447974767	0.039505782393040194	0.06787805765732476	0.48989411576161057	0.09938018052895209	0.05723893380357915	0.0030915378119405887	0.0026954509192780992
9	0.0017363148606216528	0.0017709677421581045	0.002195041877583431	0.008182652748469632	0.003693199163613557	7.108277244520656E-5	1.00346418509655E-4	0.0013401363155954799	0.003611415668801592	0.005898121442851385	0.010392233389029585	0.004800355489473176	0.011655892524445745	0.011182856907246937	0.0010605680562508653	6.444773767860634E-4	5.931891623319523E-14
10	0.0028230365929794356	0.026929238024394463	0.002685775758017505	0.004133825485185447	0.018653829940637582	0.02590197922658519	0.0031544708914317842	0.006980549044095381	0.008169012176685083	0.010082134249995574	0.32743877192711657	0.006218017057043075	0.021194444464809902	0.3726753911920625	0.004591325620060315	5.902687910406945E-5	5.671140180578487E-4
11	0.0014133386045020434	0.0048326369883897055	0.005324969783921067	0.025903865344062502	0.0281506376154967	0.018588196780701574	0.01887233773697748	0.025842820042664003	0.02184090862131889	0.36646232816150337	0.7934186240699217	0.02109577112402717	0.07404246196261656	0.14898315254291658	0.014385295796225005	0.005620998832568781	0.01955285649644216
12	0.002348081569650927	0.011927258844493862	0.023285809779122816	0.05478735046186207	0.07875244723992382	0.606931987131499	0.5677861759250314	0.39669883528102934	0.24186288037940487	0.9440161817197101	0.8636018769793581	0.058091141473996334	0.1526926622616383	0.08037685644037866	0.03507451341764485	0.021961745391655924	0.14527645274633824
13	0.004226982620417882	0.00362109186944341	0.002633984912387009	0.00953779759169655	0.01365446727702545	0.029201792354784605	0.03524398279757065	0.02952906480345166	0.10010145748153998	0.7403138287648652	0.2567519497492279	0.02894437418877046	0.052806973612729353	0.008386002086305496	0.014915145037908376	0.008881508985553371	0.017241182072983488
14	0.019307807647759512	0.016637263931748643	0.0036740408531398205	6.360330465478572E-4	0.03290192088482133	0.5767982619128655	0.675764397215281	0.38953129397010955	0.9198455825039306	0.8008403372272501	0.3053034657457154	0.04991998791757141	0.05660047520367812	0.004312229485509411	0.028821468172930693	0.05304959000277497	0.08054647993080832
15	0.003675689272918274	0.013531107379142463	0.010787578256535918	0.014223885521567383	0.0022648736465867717	0.8882501317876937	0.9159205731091692	0.5350786766249584	0.4918819796078596	0.7278338769802073	0.26083531256251735	0.025429503788361875	0.064945914140173	0.00527600357461005	0.39411129479368967	0.8717657370001508	0.05675662996484486
16	6.049115736120868E-4	0.022301951375433636	0.014034612448204956	0.0093560610128685	0.02138792276776146	1.0	0.7081602933235648	0.9301113165389262	0.7180240143953216	0.09268611158779494	0.008284592783289343	0.0035655225688777095	0.10892279188899213	0.0012478656576573812	0.002845863319085741	0.36196317158983465	0.14495884196740316
17	0.004426947198834503	0.011352375473460128	0.007044758660478238	0.009980714946944235	0.0657484512110434	0.6959074937995109	0.6212313930555678	0.13198927225628965	0.0990854435313782	0.23310576853963885	0.1319126315606016	0.0027547488456964495	0.010825441207176257	0.007934339018588258	0.002450445488100711	0.02245663347446981	0.14197036250866735
18	0.01079106654936596	0.1596065521204076	0.3899854920859521	0.8508427286323383	0.0543051807414492	0.9244671073793757	0.7864024913563004	0.5124937756595948	0.06372755230186175	0.6634838340875993	0.48283368532271803	0.022724478540485697	0.1761571999892882	0.0327448162156783	0.022970813294930423	0.03692097778279343	0.12297500712906323
19	0.0019583519247536887	0.006460848055958348	0.0447254228100411	0.7147276641895159	0.006907354288678509	0.00763263798500647	0.01105984688532535	0.0053447842792595625	0.008032328844871237	0.13919657760582818	0.1651088750596122	0.011711281989743026	0.04255573906574925	0.025846031243347656	0.009585640552942375	0.006023110562033587	0.01683377791240542
20	0.0019845599199497087	0.01878276682230964	0.0020065268399926915	0.004889072179790033	0.0138550371060333	0.009538692272051856	0.007588231809143055	0.008098293002307265	0.00674234923197832	0.06280607204997518	0.12127386965451974	0.005068147582238357	0.024580307448865794	0.008138903701458238	0.00794524242889399	0.0025228065568302194	0.9242902937335035
