20	17	E	-1.3081369295399807E7	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.028550215884380014
probinit	5	0.0
probinit	6	0.10024598733598214
probinit	7	0.8415500254881076
probinit	8	1.4955628299294202E-296
probinit	9	1.1416751156298884E-214
probinit	10	7.314029394139849E-98
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
probinit	16	0.0
probinit	17	0.0
probinit	18	0.0
probinit	19	0.0
probinit	20	0.029653771291530195
transitionprobs	1	1	0.8284620977599043
transitionprobs	1	2	0.035523483666412586
transitionprobs	1	3	0.0012638039021710316
transitionprobs	1	4	0.07991781468191626
transitionprobs	1	5	0.0062371261895201036
transitionprobs	1	6	3.2849610105646816E-4
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	1.3147975469134234E-4
transitionprobs	1	12	0.0
transitionprobs	1	13	0.003627686424313211
transitionprobs	1	14	0.0012811737942239401
transitionprobs	1	15	0.03676387945644694
transitionprobs	1	16	0.0
transitionprobs	1	17	0.0052981350170381815
transitionprobs	1	18	2.083798899685967E-4
transitionprobs	1	19	2.7208117976647067E-4
transitionprobs	1	20	6.843621825706361E-4
transitionprobs	2	1	0.10057591577416111
transitionprobs	2	2	0.6970189714967524
transitionprobs	2	3	0.13336874261651122
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0018611136274081454
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.012024725124421865
transitionprobs	2	13	0.012356130931573894
transitionprobs	2	14	0.017705416316430755
transitionprobs	2	15	0.02145236205025722
transitionprobs	2	16	0.0
transitionprobs	2	17	0.00274998543146888
transitionprobs	2	18	8.866366310146294E-4
transitionprobs	2	19	0.0
transitionprobs	2	20	0.0
transitionprobs	3	1	0.00203767688325624
transitionprobs	3	2	0.04399733397110819
transitionprobs	3	3	0.686049067118114
transitionprobs	3	4	0.07620964112788062
transitionprobs	3	5	0.16021576806860835
transitionprobs	3	6	7.562205779182759E-4
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0022982265885688148
transitionprobs	3	10	0.0
transitionprobs	3	11	0.006334006726832476
transitionprobs	3	12	0.0013030602456568826
transitionprobs	3	13	0.016929716241561067
transitionprobs	3	14	2.7533129843133013E-4
transitionprobs	3	15	0.0
transitionprobs	3	16	0.0
transitionprobs	3	17	4.90547481770433E-4
transitionprobs	3	18	4.293205919337964E-5
transitionprobs	3	19	2.304158741543644E-4
transitionprobs	3	20	0.0028300557369452754
transitionprobs	4	1	0.02341754239006943
transitionprobs	4	2	0.0010584314886799815
transitionprobs	4	3	0.023513728999148803
transitionprobs	4	4	0.8791521168569822
transitionprobs	4	5	0.04800578063849707
transitionprobs	4	6	7.747157213672972E-4
transitionprobs	4	7	0.0014834902485201052
transitionprobs	4	8	0.0
transitionprobs	4	9	0.00846719000058007
transitionprobs	4	10	0.0
transitionprobs	4	11	0.005519320892731153
transitionprobs	4	12	4.486291489811793E-4
transitionprobs	4	13	0.0
transitionprobs	4	14	4.297549201029507E-4
transitionprobs	4	15	1.5820371354504666E-4
transitionprobs	4	16	0.0
transitionprobs	4	17	0.0026323001502790012
transitionprobs	4	18	0.0
transitionprobs	4	19	5.734574675432505E-5
transitionprobs	4	20	0.004881449083761379
transitionprobs	5	1	0.0019547980463303946
transitionprobs	5	2	0.0
transitionprobs	5	3	0.05359285379499188
transitionprobs	5	4	0.05088341992239492
transitionprobs	5	5	0.8903663768683182
transitionprobs	5	6	5.6566882425943E-4
transitionprobs	5	7	0.0
transitionprobs	5	8	2.64629232073279E-4
transitionprobs	5	9	0.0014604845843300702
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0
transitionprobs	5	13	1.3818115663165854E-5
transitionprobs	5	14	0.0
transitionprobs	5	15	0.0
transitionprobs	5	16	0.0
transitionprobs	5	17	2.8763041756506093E-6
transitionprobs	5	18	0.0
transitionprobs	5	19	6.792773252645613E-5
transitionprobs	5	20	8.271465749365065E-4
transitionprobs	6	1	2.0707471963367688E-4
transitionprobs	6	2	5.726633973999496E-4
transitionprobs	6	3	5.629216528848115E-4
transitionprobs	6	4	0.002274353824679789
transitionprobs	6	5	0.001556109736612594
transitionprobs	6	6	0.860936504816487
transitionprobs	6	7	0.08561223410173696
transitionprobs	6	8	4.0706069450548133E-4
transitionprobs	6	9	0.023350454814604703
transitionprobs	6	10	0.015819966763311356
transitionprobs	6	11	4.1020692721395837E-4
transitionprobs	6	12	6.497750814249133E-5
transitionprobs	6	13	0.0022983839903163057
transitionprobs	6	14	0.002811562495054399
transitionprobs	6	15	2.3968074975349552E-5
transitionprobs	6	16	1.2456693330944254E-5
transitionprobs	6	17	0.001719759073586632
transitionprobs	6	18	4.4408899639521E-4
transitionprobs	6	19	7.361280697169464E-5
transitionprobs	6	20	8.416389121568147E-4
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	1.080315031946455E-4
transitionprobs	7	5	0.0
transitionprobs	7	6	0.002135564725493875
transitionprobs	7	7	0.9889184485284721
transitionprobs	7	8	8.165460638960767E-4
transitionprobs	7	9	6.669930509004601E-4
transitionprobs	7	10	0.00527475732035907
transitionprobs	7	11	4.7399002462868116E-8
transitionprobs	7	12	4.261820177492437E-8
transitionprobs	7	13	3.3939359900270004E-4
transitionprobs	7	14	0.0
transitionprobs	7	15	0.0
transitionprobs	7	16	0.0
transitionprobs	7	17	2.995882903102797E-4
transitionprobs	7	18	7.713523539800912E-6
transitionprobs	7	19	8.180409215321838E-5
transitionprobs	7	20	0.0013510692854737168
transitionprobs	8	1	0.0
